split_id,task_id,task_path,language,lifecycle_status,has_metadata,has_lock,has_repo,has_public_tests,has_hidden_tests,has_evaluation,has_task_md,spec_status,metadata_fields_ok,issue_count,warning_count,issues,warnings
python_main_candidate,aiohttp__url_params_core__hard3_001,benchmark/tasks/aiohttp__url_params_core__hard3_001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,alembic__revision_map_core__hard3_001,benchmark/tasks/alembic__revision_map_core__hard3_001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,apscheduler__cron_trigger_core__hard3_001,benchmark/tasks/apscheduler__cron_trigger_core__hard3_001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,arrow__parse_format_core__001,benchmark/tasks/arrow__parse_format_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,astroid__nodes_core__001,benchmark/tasks/astroid__nodes_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,attrs__validators_core__001,benchmark/tasks/attrs__validators_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,babel__plural_core__001,benchmark/tasks/babel__plural_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,bidict__bidirectional_map_core__001,benchmark/tasks/bidict__bidirectional_map_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,bleach__sanitize_core__001,benchmark/tasks/bleach__sanitize_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,blinker__signal_registry_core__001,benchmark/tasks/blinker__signal_registry_core__001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,boltons__iterutils_core__001,benchmark/tasks/boltons__iterutils_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,build__pyproject_backend_core__hard3_001,benchmark/tasks/build__pyproject_backend_core__hard3_001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,cachetools__cache_eviction_core__001,benchmark/tasks/cachetools__cache_eviction_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,cattrs__structure_core__001,benchmark/tasks/cattrs__structure_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,celery__signal_dispatch_core__hard3_001,benchmark/tasks/celery__signal_dispatch_core__hard3_001,python,main,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,cerberus__schema_validate_core__001,benchmark/tasks/cerberus__schema_validate_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
python_main_candidate,chameleon__template_compile_core__001,benchmark/tasks/chameleon__template_compile_core__001,python,legacy_main_implicit,True,True,True,True,True,True,True,compliant,True,0,0,,
