pilot_id,arm_id,task_id,seed,scheduled,run_available,evaluation_available,run_status,build_pass,public_pass,hidden_pass,functional_pass,public_hidden_gap,extraction_ratio,final_score,closure_precision,closure_recall,closure_f1,closure_measurement,closure_state_present,gold_closure_size,predicted_closure_size,copied_file_count,copied_loc,total_tokens,api_calls,assistant_steps,tool_calls,repeated_file_reads,repeated_line_reads,repeated_terminal_commands,repeated_exploration,tool_error_count,harness_format_error_count,token_budget_exhausted,run_path,evaluation_path,trajectory_path,closure_state_path
ecsm-pilot-v1,standard,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,strong_prompt,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_locate,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,static_closure_hint,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_closure,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,copy_first_then_prune,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,ecsm,pluggy__hook_specs_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,7,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pluggy__hook_specs_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pluggy__hook_specs_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pluggy__hook_specs_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,standard,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,strong_prompt,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_locate,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,static_closure_hint,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_closure,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,copy_first_then_prune,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/copy_first_then_prune/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,ecsm,pydantic_v1__validation_error_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,15,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pydantic_v1__validation_error_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pydantic_v1__validation_error_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/ecsm/pydantic_v1__validation_error_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,standard,coverage__config_merge_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,0,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/coverage__config_merge_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/coverage__config_merge_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/standard/coverage__config_merge_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,strong_prompt,coverage__config_merge_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,0,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/coverage__config_merge_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/coverage__config_merge_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/strong_prompt/coverage__config_merge_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_locate,coverage__config_merge_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,0,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/coverage__config_merge_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/coverage__config_merge_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_locate/coverage__config_merge_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,static_closure_hint,coverage__config_merge_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,0,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/coverage__config_merge_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/coverage__config_merge_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/static_closure_hint/coverage__config_merge_core__001/seed-0/agent/openhands_events.jsonl,
ecsm-pilot-v1,oracle_closure,coverage__config_merge_core__001,0,true,false,false,missing,,,,,,,,,,,unavailable,false,0,0,,,,,,0,0,0,0,0,0,0,false,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/coverage__config_merge_core__001/seed-0/run.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/coverage__config_merge_core__001/seed-0/eval/result.json,experiments/ecsm_pilot/runs/ecsm-pilot-v1/oracle_closure/coverage__config_merge_core__001/seed-0/agent/openhands_events.jsonl,
